Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
190.75000	1.12678
190.76667	1.10745
190.78333	1.07926
190.81667	1.03124
190.83333	0.99773
190.85000	0.96454
190.86667	0.93377
190.88333	0.92153
190.90000	0.97163
190.91667	1.03237
190.91667	1.05122
190.93333	1.05090
190.95000	1.06025
190.96667	1.07120
190.96667	1.05332
190.98333	1.05316
190.98333	1.05992
191.00000	1.04397
191.03333	1.09070
191.05000	1.11438
191.06667	1.11583
191.08333	1.11083
191.10000	1.12163
191.11667	1.12840
191.13333	1.13500
191.15000	1.13436
191.16667	1.10810
191.18333	1.08280
191.20000	1.05187
191.21667	1.05380
191.23333	1.03833
191.25000	1.04236
191.26667	1.03817
191.30000	1.05735
191.31667	1.01723
191.35000	0.96777
191.36667	0.96519
191.38333	0.98919
191.38333	1.01658
191.38333	1.04156
191.38333	1.04558
191.38333	1.04881
191.40000	1.06186
191.40000	1.07378
191.40000	1.07555
191.41667	1.08490
191.45000	1.11309
191.46667	1.13194
191.48333	1.13291
191.48333	1.14676
191.48333	1.15514
191.50000	1.14789
191.50000	1.14628
191.50000	1.14306
191.51667	1.13629
191.51667	1.12018
191.53333	1.11486
191.53333	1.12356
191.53333	1.13983
191.55000	1.13790
191.56667	1.15079
191.58333	1.13403
191.60000	1.13565
191.61667	1.14982
191.63333	1.15498
191.63333	1.16448
191.65000	1.16481
191.66667	1.16577
191.68333	1.16771
191.68333	1.16384
191.68333	1.16706
191.68333	1.16384
191.68333	1.15595
191.70000	1.15256
191.70000	1.14531
191.70000	1.14773
191.71667	1.14290
191.71667	1.15288
191.75000	1.14483
191.78333	1.12662
191.80000	1.12598
191.83333	1.12372
191.85000	1.12550
191.86667	1.14547
191.90000	1.14966
191.93333	1.15466
191.95000	1.15498
191.98333	1.14290
192.00000	1.11180
192.01667	1.09198
192.03333	1.08683
192.06667	1.07942
192.10000	1.07410
192.13333	1.10149
192.18333	1.08200
192.21667	1.08747
192.23333	1.09118
192.23333	1.08006
192.25000	1.09053
192.25000	1.09182
192.26667	1.08892
192.26667	1.07555
192.28333	1.05976
192.30000	0.04911
192.31667	1.05573
192.31667	1.06492
192.31667	1.06476
192.33333	1.07716
192.33333	1.08538
192.35000	1.08377
192.35000	1.08055
192.35000	1.07249
192.35000	1.07700
192.35000	1.07491
192.36667	1.06927
192.36667	1.05863
192.36667	1.05541
192.38333	1.04671
192.40000	1.05203
192.41667	1.09843
192.45000	1.10487
192.46667	1.11841
192.48333	1.11567
192.50000	1.11615
192.51667	1.09601
192.53333	1.09682
192.56667	1.11100
192.58333	1.10439
192.60000	1.11680
192.61667	1.11261
192.63333	1.13452
192.66667	1.17818
192.70000	1.17818
192.73333	1.18027
192.76667	1.17415
192.78333	1.17544
192.80000	1.18076
192.80000	1.18285
192.80000	1.18221
192.80000	1.18333
192.80000	1.18221
192.81667	1.17915
192.81667	1.15401
192.81667	1.11051
192.81667	0.95375
192.81667	0.94908
192.81667	0.94408
192.81667	0.94505
192.81667	0.95423
192.81667	0.95149
192.81667	0.94441
192.81667	0.92137
192.83333	0.89704
192.85000	0.86772
192.85000	0.85322
192.86667	0.84323
192.88333	0.82631
192.90000	0.79135
192.93333	0.69726
192.98333	0.80601
193.05000	0.87174
193.08333	0.90719
193.10000	0.89768
193.11667	0.88383
193.13333	0.88028
193.15000	0.86820
193.18333	0.91814
193.20000	0.92958
193.20000	0.93877
193.21667	0.92201
193.21667	0.90364
193.21667	0.90912
193.21667	0.90509
193.21667	0.90880
193.21667	0.91202
193.21667	0.90928
193.21667	0.90848
193.21667	0.90364
193.21667	0.91009
193.23333	0.91847
193.25000	0.95568
193.28333	0.98243
193.35000	1.10697
193.40000	1.16432
193.45000	1.15740
193.48333	1.16207
193.51667	1.16497
193.55000	1.16126
193.58333	1.15321
193.61667	1.15079
193.66667	1.14145
193.71667	1.12533
193.75000	1.10906
193.78333	1.09408
193.81667	1.08763
193.83333	1.08908
193.83333	1.08812
193.83333	1.09005
193.83333	1.08022
193.85000	1.06588
193.85000	1.06733
193.85000	1.07926
193.86667	1.05815
193.86667	1.05477
193.88333	1.06331
193.88333	1.06170
193.88333	1.05735
193.88333	1.06025
193.88333	1.05896
193.88333	1.05992
193.88333	1.05863
193.88333	1.06089
